AuthorID,Author,Date,Content,Attachments,Reactions
"539941684641792030","LittleAlchemist#5503","31-Jan-21 06:35 AM","/upgrade","",""
"406129972982317068","Sidekick II#9293","31-Jan-21 06:35 AM","","",""
"406129972982317068","Sidekick II#9293","31-Jan-21 06:35 AM","","",""
"384367680955744266","BlackStallion97#1505","31-Jan-21 06:39 AM","/update","",""
"406129972982317068","Sidekick II#9293","31-Jan-21 06:39 AM","**Players on Discord: 6**
:discord: `⠀Name           ⠀` `⠀Discord     ⠀`
:x: `⠀Artizas        ⠀` `⠀Artizas2    ⠀`
:x: `⠀BlackStallion97⠀` `⠀BlackStallio⠀`
:x: `⠀your grandpa   ⠀` `⠀BlackStallio⠀`
:x: `⠀Goldencode     ⠀` `⠀Goldencode12⠀`
:x: `⠀LittleAlchemist⠀` `⠀LittleAlchem⠀`
:x: `⠀Z.Z            ⠀` `⠀Z.Z         ⠀`","","discord (1),No (1)"
"406129972982317068","Sidekick II#9293","31-Jan-21 06:39 AM","**Players not on Discord: 40**
:discord: `⠀Name           ⠀` `⠀Tag       ⠀`
:x: `⠀Adam           ⠀` `⠀#88R0Q88G ⠀`
:x: `⠀Alpha Wolf     ⠀` `⠀#P09Q9PRYC⠀`
:x: `⠀Arif BURHAN    ⠀` `⠀#9V02JJV9Y⠀`
:x: `⠀Arnold         ⠀` `⠀#C9GUUQ0R ⠀`
:x: `⠀Aryan n. Mhatr ⠀` `⠀#Y20YYGP8R⠀`
:x: `⠀BigBlueAircraft⠀` `⠀#LVPCRYUCQ⠀`
:x: `⠀Bojovic1211    ⠀` `⠀#LJCPJ88P9⠀`
:x: `⠀BOSS Mikecx    ⠀` `⠀#VCQCLL9L ⠀`
:x: `⠀cafrsggh       ⠀` `⠀#82U9YRYJ2⠀`
:x: `⠀CerMaC         ⠀` `⠀#YYQPPP989⠀`
:x: `⠀chief stephen  ⠀` `⠀#2RC89GQP ⠀`
:x: `⠀chief steve    ⠀` `⠀#J8QVG8R0 ⠀`
:x: `⠀Chris14        ⠀` `⠀#PPPRVCQ8Q⠀`
:x: `⠀Deadpool       ⠀` `⠀#9RY02YGC ⠀`
:x: `⠀DrunkBarbarian ⠀` `⠀#2LLPVGYG ⠀`
:x: `⠀Dylan          ⠀` `⠀#CJQ0Y2RJ ⠀`
:x: `⠀DylanLCP       ⠀` `⠀#PRCQGVLPL⠀`
:x: `⠀Fe4RLess       ⠀` `⠀#LQY8C2VQG⠀`
:x: `⠀FUT21News      ⠀` `⠀#LJQP2RRR2⠀`
:x: `⠀goontown       ⠀` `⠀#LV9QCUU9L⠀`
:x: `⠀Guru           ⠀` `⠀#LCQLJ80R0⠀`
:x: `⠀IRAN           ⠀` `⠀#2JPQGG9UR⠀`
:x: `⠀Jamesy Boii    ⠀` `⠀#CLRPQ298 ⠀`
:x: `⠀jess342        ⠀` `⠀#9CUUVJ2JC⠀`
:x: `⠀john           ⠀` `⠀#8UV998RC8⠀`
:x: `⠀Juslikepie     ⠀` `⠀#LVCJPUJJL⠀`
:x: `⠀Krimson99      ⠀` `⠀#Q2CYRCCV ⠀`
:x: `⠀KrimsonRuler   ⠀` `⠀#PU00JY2J ⠀`
:x: `⠀kyndawg        ⠀` `⠀#LJY8828CU⠀`
:x: `⠀La Chupacabra  ⠀` `⠀#Q9YPPU2Y ⠀`
:x: `⠀Nevin          ⠀` `⠀#PVC2R8R8Q⠀`","",""
"406129972982317068","Sidekick II#9293","31-Jan-21 06:39 AM",":x: `⠀Pancakes21     ⠀` `⠀#9GVC2V8LP⠀`
:x: `⠀quirky         ⠀` `⠀#L8R9LC2YC⠀`
:x: `⠀rhino0117      ⠀` `⠀#20GU20C0V⠀`
:x: `⠀Sogan          ⠀` `⠀#VRYR82YJ ⠀`
:x: `⠀Space Jesus    ⠀` `⠀#2QQY09GQR⠀`
:x: `⠀supersmash     ⠀` `⠀#LJCJJGVLJ⠀`
:x: `⠀tom            ⠀` `⠀#LC8GVRJLV⠀`
:x: `⠀Wavyboytrell   ⠀` `⠀#LQQY0Y9JY⠀`
:x: `⠀WILLY$$        ⠀` `⠀#Q0CJUVL28⠀`","",""
"406129972982317068","Sidekick II#9293","31-Jan-21 06:39 AM","","",""
"384367680955744266","BlackStallion97#1505","31-Jan-21 06:40 AM","/add Arnold @ArnoldCoC","",""
"406129972982317068","Sidekick II#9293","31-Jan-21 06:40 AM",":x: Successfully linked **Arnold**  #C9GUUQ0R to ArnoldCoC.","",""
"802848808627077131","ArnoldCoC#1155","31-Jan-21 06:56 AM","/add rhino0117 @Rhino0117","",""
"406129972982317068","Sidekick II#9293","31-Jan-21 06:56 AM",":x: Successfully linked **rhino0117**  #20GU20C0V to Rhino0117.","",""
"384367680955744266","BlackStallion97#1505","31-Jan-21 06:57 AM","/update","",""
"406129972982317068","Sidekick II#9293","31-Jan-21 06:57 AM","**Players on Discord: 8**
:discord: `⠀Name           ⠀` `⠀Discord     ⠀`
:x: `⠀Arnold         ⠀` `⠀ArnoldCoC   ⠀`
:x: `⠀Artizas        ⠀` `⠀Artizas2    ⠀`
:x: `⠀BlackStallion97⠀` `⠀BlackStallio⠀`
:x: `⠀your grandpa   ⠀` `⠀BlackStallio⠀`
:x: `⠀Goldencode     ⠀` `⠀Goldencode12⠀`
:x: `⠀LittleAlchemist⠀` `⠀LittleAlchem⠀`
:x: `⠀rhino0117      ⠀` `⠀Rhino0117   ⠀`
:x: `⠀Z.Z            ⠀` `⠀Z.Z         ⠀`","","discord (1),No (1)"
"406129972982317068","Sidekick II#9293","31-Jan-21 06:57 AM","**Players not on Discord: 38**
:discord: `⠀Name           ⠀` `⠀Tag       ⠀`
:x: `⠀Adam           ⠀` `⠀#88R0Q88G ⠀`
:x: `⠀Alpha Wolf     ⠀` `⠀#P09Q9PRYC⠀`
:x: `⠀Arif BURHAN    ⠀` `⠀#9V02JJV9Y⠀`
:x: `⠀Aryan n. Mhatr ⠀` `⠀#Y20YYGP8R⠀`
:x: `⠀BigBlueAircraft⠀` `⠀#LVPCRYUCQ⠀`
:x: `⠀Bojovic1211    ⠀` `⠀#LJCPJ88P9⠀`
:x: `⠀BOSS Mikecx    ⠀` `⠀#VCQCLL9L ⠀`
:x: `⠀cafrsggh       ⠀` `⠀#82U9YRYJ2⠀`
:x: `⠀CerMaC         ⠀` `⠀#YYQPPP989⠀`
:x: `⠀chief stephen  ⠀` `⠀#2RC89GQP ⠀`
:x: `⠀chief steve    ⠀` `⠀#J8QVG8R0 ⠀`
:x: `⠀Chris14        ⠀` `⠀#PPPRVCQ8Q⠀`
:x: `⠀Deadpool       ⠀` `⠀#9RY02YGC ⠀`
:x: `⠀DrunkBarbarian ⠀` `⠀#2LLPVGYG ⠀`
:x: `⠀Dylan          ⠀` `⠀#CJQ0Y2RJ ⠀`
:x: `⠀DylanLCP       ⠀` `⠀#PRCQGVLPL⠀`
:x: `⠀Fe4RLess       ⠀` `⠀#LQY8C2VQG⠀`
:x: `⠀FUT21News      ⠀` `⠀#LJQP2RRR2⠀`
:x: `⠀goontown       ⠀` `⠀#LV9QCUU9L⠀`
:x: `⠀Guru           ⠀` `⠀#LCQLJ80R0⠀`
:x: `⠀IRAN           ⠀` `⠀#2JPQGG9UR⠀`
:x: `⠀Jamesy Boii    ⠀` `⠀#CLRPQ298 ⠀`
:x: `⠀jess342        ⠀` `⠀#9CUUVJ2JC⠀`
:x: `⠀john           ⠀` `⠀#8UV998RC8⠀`
:x: `⠀Juslikepie     ⠀` `⠀#LVCJPUJJL⠀`
:x: `⠀Krimson99      ⠀` `⠀#Q2CYRCCV ⠀`
:x: `⠀KrimsonRuler   ⠀` `⠀#PU00JY2J ⠀`
:x: `⠀kyndawg        ⠀` `⠀#LJY8828CU⠀`
:x: `⠀La Chupacabra  ⠀` `⠀#Q9YPPU2Y ⠀`
:x: `⠀Nevin          ⠀` `⠀#PVC2R8R8Q⠀`
:x: `⠀Pancakes21     ⠀` `⠀#9GVC2V8LP⠀`","",""
"406129972982317068","Sidekick II#9293","31-Jan-21 06:57 AM",":x: `⠀quirky         ⠀` `⠀#L8R9LC2YC⠀`
:x: `⠀Sogan          ⠀` `⠀#VRYR82YJ ⠀`
:x: `⠀Space Jesus    ⠀` `⠀#2QQY09GQR⠀`
:x: `⠀supersmash     ⠀` `⠀#LJCJJGVLJ⠀`
:x: `⠀tom            ⠀` `⠀#LC8GVRJLV⠀`
:x: `⠀Wavyboytrell   ⠀` `⠀#LQQY0Y9JY⠀`
:x: `⠀WILLY$$        ⠀` `⠀#Q0CJUVL28⠀`","",""
"406129972982317068","Sidekick II#9293","31-Jan-21 06:57 AM","","",""
"384367680955744266","BlackStallion97#1505","31-Jan-21 06:57 AM","/add Adam @Staminoka","",""
"406129972982317068","Sidekick II#9293","31-Jan-21 06:57 AM",":x: Successfully linked **Adam**  #88R0Q88G to Adam.","",""
"384367680955744266","BlackStallion97#1505","31-Jan-21 07:00 AM","wolf-prince is alpha wolf right?","",""
"802848808627077131","ArnoldCoC#1155","31-Jan-21 07:00 AM","Yes","",""
"384367680955744266","BlackStallion97#1505","31-Jan-21 07:00 AM","okok","",""
"384367680955744266","BlackStallion97#1505","31-Jan-21 07:01 AM","/add Alpha Wolf @Wolf_prince21","",""
"406129972982317068","Sidekick II#9293","31-Jan-21 07:01 AM",":x: Successfully linked **Alpha Wolf**  #P09Q9PRYC to Wolf_prince21.","",""
"802848808627077131","ArnoldCoC#1155","31-Jan-21 07:01 AM","/add adam @Staminoka","",""
"406129972982317068","Sidekick II#9293","31-Jan-21 07:01 AM",":x: Successfully linked **Adam**  #88R0Q88G to Adam.","",""
"539941684641792030","LittleAlchemist#5503","31-Jan-21 03:25 PM","/upgrade","",""
"406129972982317068","Sidekick II#9293","31-Jan-21 03:25 PM","","",""
"406129972982317068","Sidekick II#9293","31-Jan-21 03:25 PM","","",""
"384367680955744266","BlackStallion97#1505","02-Feb-21 09:05 AM","/add #clan-feed channel","",""
"406129972982317068","Sidekick II#9293","02-Feb-21 09:05 AM",":x: No matches found for `#clan-feed channel`. Perhaps try their tag?","",""
"384367680955744266","BlackStallion97#1505","02-Feb-21 10:06 AM","/channel #clan-feed","",""
"406129972982317068","Sidekick II#9293","02-Feb-21 10:06 AM","Sidekick is now linked to DeadSages in this channel","",""
"406129972982317068","Sidekick II#9293","02-Feb-21 10:06 AM","**Added #clan-feed to DeadSages**","",""
"406129972982317068","Sidekick II#9293","02-Feb-21 10:06 AM","","",""
"406129972982317068","Sidekick II#9293","02-Feb-21 10:06 AM","This channel accepts commands for **DeadSages**","",""
"384367680955744266","BlackStallion97#1505","02-Feb-21 10:07 AM","/channel #clan-feed feed","",""
"406129972982317068","Sidekick II#9293","02-Feb-21 10:07 AM","Sidekick is now linked to DeadSages in this channel","",""
"406129972982317068","Sidekick II#9293","02-Feb-21 10:07 AM","**Added #clan-feed to DeadSages**","",""
"406129972982317068","Sidekick II#9293","02-Feb-21 10:07 AM","","",""
"406129972982317068","Sidekick II#9293","02-Feb-21 10:07 AM","This channel accepts commands for **DeadSages**","",""
"384367680955744266","BlackStallion97#1505","02-Feb-21 11:59 AM","/feed","",""
"384367680955744266","BlackStallion97#1505","02-Feb-21 12:00 PM","/war","",""
"406129972982317068","Sidekick II#9293","02-Feb-21 12:00 PM","**Scoreboard**:gap:
`⠀  DeadSages⠀`    :Clan:    `⠀CHAOS      ⠀`
`⠀       0/90⠀`    :sk_star_new:    `⠀0/90       ⠀`
`⠀       0.0%⠀`    :per:    `⠀0.0%       ⠀`
`⠀       0/30⠀`    :sk_sword_empty:    `⠀0/30       ⠀`

War starts in **1 hours and 17 minutes**.
:gap:
**‎CHAOS Open Bases**:gap:
:gap: :gap::gap::per: :No: :Th:  **Name and Caller**
‎:sk_star_empty::sk_star_empty::sk_star_empty: :s0: :b1: :t13:  Scott\_on\_CoC** **
‎:sk_star_empty::sk_star_empty::sk_star_empty: :s0: :b2: :t12:  Eric** **
‎:sk_star_empty::sk_star_empty::sk_star_empty: :s0: :b3: :t12:  Fishinfool** **
‎:sk_star_empty::sk_star_empty::sk_star_empty: :s0: :b4: :t12:  Ussama87sh** **
‎:sk_star_empty::sk_star_empty::sk_star_empty: :s0: :b5: :t12:  EJ** **
‎:sk_star_empty::sk_star_empty::sk_star_empty: :s0: :b6: :t12:  King Leggy** **","",""
"406129972982317068","Sidekick II#9293","02-Feb-21 12:00 PM","‎:sk_star_empty::sk_star_empty::sk_star_empty: :s0: :b7: :t12:  maca11ister** **
‎:sk_star_empty::sk_star_empty::sk_star_empty: :s0: :b8: :t12:  Aserisk** **
‎:sk_star_empty::sk_star_empty::sk_star_empty: :s0: :b9: :t11:  PrettyBoy** **
‎:sk_star_empty::sk_star_empty::sk_star_empty: :s0: :b10: :t11:  dan** **
‎:sk_star_empty::sk_star_empty::sk_star_empty: :s0: :b11: :t11:  jake whyte** **
‎:sk_star_empty::sk_star_empty::sk_star_empty: :s0: :b12: :t11:  Shock** **
‎:sk_star_empty::sk_star_empty::sk_star_empty: :s0: :b13: :t11:  xHansx** **
‎:sk_star_empty::sk_star_empty::sk_star_empty: :s0: :b14: :t11:  the warrior** **
‎:sk_star_empty::sk_star_empty::sk_star_empty: :s0: :b15: :t11:  Maxipoder** **","",""
"406129972982317068","Sidekick II#9293","02-Feb-21 12:00 PM","‎:sk_star_empty::sk_star_empty::sk_star_empty: :s0: :b16: :t11:  Young Tango™** **
‎:sk_star_empty::sk_star_empty::sk_star_empty: :s0: :b17: :t11:  REDSKULL** **
‎:sk_star_empty::sk_star_empty::sk_star_empty: :s0: :b18: :t10:  NBAYOUNGJAYLON** **
‎:sk_star_empty::sk_star_empty::sk_star_empty: :s0: :b19: :t10:  TheLegend27** **
‎:sk_star_empty::sk_star_empty::sk_star_empty: :s0: :b20: :t10:  Johnny** **
‎:sk_star_empty::sk_star_empty::sk_star_empty: :s0: :b21: :t9:  cheeseburglor** **
‎:sk_star_empty::sk_star_empty::sk_star_empty: :s0: :b22: :t9:  Aserisk 2.0** **
‎:sk_star_empty::sk_star_empty::sk_star_empty: :s0: :b23: :t9:  Gabe** **
‎:sk_star_empty::sk_star_empty::sk_star_empty: :s0: :b24: :t9:  Slayer1** **","",""
